Reviewer,Restaurant,label,pred_score,rank_pred
$ign,SKYHY,2.0,0.5977073244877575,1.0
$ign,Hyper Local,0.0,-0.4392199368619668,2.0
$ign,The Chocolate Room,0.0,-0.7028858765402104,3.0
@Vignesh #FoodMad,Owm Nom Nom,2.0,0.690840593704878,1.0
@Vignesh #FoodMad,Pot Pourri,0.0,-0.03789589267020224,2.0
@Vignesh #FoodMad,Banana Leaf Multicuisine Restaurant,0.0,-0.5615558406377918,3.0
ABD X,Hotel Zara Hi-Fi,0.0,0.6369340419778651,1.0
ABD X,Flechazo,0.0,-0.7019232822159183,2.0
ABD X,Faasos,0.0,-0.703189478638772,3.0
ABHI07💪,"3B's - Buddies, Bar & Barbecue",3.0,0.6367575235060394,1.0
ABHI07💪,KFC,0.0,-0.7028858765402104,2.0
ABHI07💪,Diners Pavilion,0.0,-0.7030750642637245,3.0
AJAY KANTH ILLURI,Shah Ghouse Hotel & Restaurant,3.0,0.6983768998383802,1.0
AJAY KANTH ILLURI,AB's - Absolute Barbecues,0.0,-0.7019232822159183,2.0
AJAY KANTH ILLURI,AB's - Absolute Barbecues,0.0,-0.7019232822159183,3.0
AKASH NEGI,13 Dhaba,3.0,0.6460307190752079,1.0
AKASH NEGI,Amul,0.0,-0.7028858765402104,2.0
AKASH NEGI,Behrouz Biryani,0.0,-0.7028858765402104,3.0
AKHIL BONDADA,AB's - Absolute Barbecues,3.0,0.5826577687487676,1.0
AKHIL BONDADA,13 Dhaba,0.0,-0.6944891332799401,2.0
AKHIL BONDADA,Dine O China,0.0,-0.703189478638772,3.0
ANUVA NAG,Royal Spicy Restaurant,3.0,0.6711815936978127,1.0
ANUVA NAG,"3B's - Buddies, Bar & Barbecue",0.0,-0.7019232822159183,2.0
ANUVA NAG,Domino's Pizza,0.0,-0.7028858765402104,3.0
ASHISH PRIYABRATA JENA,Banana Leaf Multicuisine Restaurant,0.0,0.6983768998383802,1.0
ASHISH PRIYABRATA JENA,Being Hungry,0.0,-0.6991449854151568,2.0
ASHISH PRIYABRATA JENA,13 Dhaba,0.0,-0.7019127827524814,3.0
Aabhi Chachu,KS Bakers,3.0,0.6839913594247343,1.0
Aabhi Chachu,American Wild Wings,0.0,-0.703189478638772,2.0
Aabhi Chachu,Hyper Local,0.0,-0.703189478638772,3.0
Aadit Chugh,Amul,0.0,0.6516494316299958,1.0
Aadit Chugh,"3B's - Buddies, Bar & Barbecue",0.0,-0.7000449987745438,2.0
Aadit Chugh,Biryanis And More,0.0,-0.7000449987745438,3.0
Aastha Anand,The Indi Grill,3.0,0.5216806894726709,1.0
Aastha Anand,Tiki Shack,0.0,-0.7025490348753349,2.0
Aastha Anand,Chinese Pavilion,0.0,-0.7028858765402104,3.0
Abdul Gaffar,Hotel Zara Hi-Fi,3.0,0.6071918853388985,1.0
Abdul Gaffar,The Indi Grill,0.0,-0.6992445246734287,2.0
Abdul Gaffar,Royal Spicy Restaurant,0.0,-0.7027236381218351,3.0
Abhay Sharma,Beyond Flavours,3.0,0.6983768998383802,1.0
Abhay Sharma,Over The Moon Brew Company,0.0,-0.600297711681836,2.0
Abhay Sharma,Absolute Sizzlers,0.0,-0.7029992072815534,3.0
Abhi's Hek Reddy Kolan,Hitech Bawarchi Food Zone,0.0,0.6378660196813397,1.0
Abhi's Hek Reddy Kolan,Green Bawarchi Restaurant,0.0,-0.5841598338524336,2.0
Abhi's Hek Reddy Kolan,Paradise,0.0,-0.5841598338524336,3.0
Abhijit Aachi,The Fisherman's Wharf,3.0,0.690840593704878,1.0
Abhijit Aachi,Hitech Bawarchi Food Zone,0.0,-0.703189478638772,2.0
Abhijit Aachi,Marsala Food Company,0.0,-0.703189478638772,3.0
Abhilash Inumella,Behrouz Biryani,0.0,0.6666594545111075,1.0
Abhilash Inumella,Momos Delight,0.0,-0.7025490348753349,2.0
Abhilash Inumella,KFC,0.0,-0.7028858765402104,3.0
Abhinav Sinha,Green Bawarchi Restaurant,0.0,0.5859306827105875,1.0
Abhinav Sinha,Aromas@11SIX,0.0,-0.5841598338524336,2.0
Abhinav Sinha,Hyderabad Chefs,0.0,-0.6991449854151568,3.0
Abhinaya Talasila,Cascade - Radisson Hyderabad Hitec City,3.0,0.690840593704878,1.0
Abhinaya Talasila,Arena Eleven,0.0,-0.5832729162473227,2.0
Abhinaya Talasila,Pista House,0.0,-0.703189478638772,3.0
